file,n,m,n_x_m,time,fitness,maxtoner
'/home/lucas/git/tonerscheduling/resources/1257.txt',800,800,640000,4.599,575.0,575
'/home/lucas/git/tonerscheduling/resources/1252.txt',800,800,640000,4.756,580.0,580
'/home/lucas/git/tonerscheduling/resources/349.txt',100,100,10000,0.053,90.0,90
'/home/lucas/git/tonerscheduling/resources/841.txt',400,400,160000,1.649,186.0,186
'/home/lucas/git/tonerscheduling/resources/208.txt',25,40,1000,0.013,14.0,14
'/home/lucas/git/tonerscheduling/resources/727.txt',200,200,40000,0.298,132.0,132
'/home/lucas/git/tonerscheduling/resources/1146.txt',75,75,5625,0.031,69.0,69
'/home/lucas/git/tonerscheduling/resources/179.txt',25,10,250,0.002,9.0,9
'/home/lucas/git/tonerscheduling/resources/1197.txt',800,800,640000,1.934,800.0,800
'/home/lucas/git/tonerscheduling/resources/360.txt',50,100,5000,0.071,28.0,28
'/home/lucas/git/tonerscheduling/resources/1087.txt',600,600,360000,0.884,600.0,600
'/home/lucas/git/tonerscheduling/resources/1195.txt',800,800,640000,1.969,799.0,799
'/home/lucas/git/tonerscheduling/resources/276.txt',30,50,1500,0.019,15.0,15
'/home/lucas/git/tonerscheduling/resources/1002.txt',600,600,360000,1.216,599.0,599
'/home/lucas/git/tonerscheduling/resources/174.txt',20,50,1000,0.016,12.0,12
'/home/lucas/git/tonerscheduling/resources/627.txt',150,150,22500,0.18,107.0,107
'/home/lucas/git/tonerscheduling/resources/405.txt',1000,1000,1000000,3.526,999.0,999
'/home/lucas/git/tonerscheduling/resources/193.txt',25,20,500,0.005,13.0,13
'/home/lucas/git/tonerscheduling/resources/1030.txt',600,600,360000,1.113,600.0,600
'/home/lucas/git/tonerscheduling/resources/661.txt',175,175,30625,0.138,170.0,170
'/home/lucas/git/tonerscheduling/resources/69.txt',10,50,500,0.011,8.0,8
'/home/lucas/git/tonerscheduling/resources/654.txt',175,175,30625,0.143,165.0,165
'/home/lucas/git/tonerscheduling/resources/1033.txt',600,600,360000,0.96,600.0,600
'/home/lucas/git/tonerscheduling/resources/275.txt',30,50,1500,0.018,17.0,17
'/home/lucas/git/tonerscheduling/resources/1347.txt',20,20,400,0.003,16.0,16
'/home/lucas/git/tonerscheduling/resources/204.txt',25,30,750,0.009,15.0,15
'/home/lucas/git/tonerscheduling/resources/740.txt',200,200,40000,0.265,161.0,161
'/home/lucas/git/tonerscheduling/resources/370.txt',50,100,5000,0.052,58.0,58
'/home/lucas/git/tonerscheduling/resources/812.txt',400,400,160000,0.735,384.0,384
'/home/lucas/git/tonerscheduling/resources/1323.txt',99,28,2772,0.022,21.0,21
'/home/lucas/git/tonerscheduling/resources/503.txt',1000,1000,1000000,2.453,1000.0,1000
